timestamp (in IST),coin_gecko_id,symbol,name,price_in_usd,market_cap,24h_trade_volume
2022-07-31 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.690038511048598,3119144644.913726,367023144.44869226
2022-08-01 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.3959682286567,3040973568.7714815,274634366.9647787
2022-08-02 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.473269002236767,3022381428.3820405,266015147.50791952
2022-08-03 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.980953809169952,2940330986.1892357,265673747.51502544
2022-08-04 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.18101111805147,2967847888.3937883,226369769.14149112
2022-08-05 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.416293024966217,3038887314.423272,237435615.37774077
2022-08-06 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.950270687527901,3201276616.5034375,239705596.85386056
2022-08-07 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.651727662251746,3118423082.854126,127961282.9534346
2022-08-08 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.381910062634745,3333019267.366267,257544238.6923009
2022-08-09 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.805351798355673,3458337494.3782024,294074003.74755883
2022-08-10 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.431783392452669,3353371406.79567,299695427.0560771
2022-08-11 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.95776826697823,3485751049.8452535,485515077.1118084
2022-08-12 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.756674897420075,3440206719.9858875,299757171.73578644
2022-08-13 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,12.08890190179233,3529439080.5399737,212302880.2736242
2022-08-14 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.916308625668012,3485516550.9991627,180472420.50272718
2022-08-15 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.610975749441952,3398597154.4874034,166398774.64055213
2022-08-16 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.424164516589208,3340583655.7050557,198262370.61961874
2022-08-17 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.441179467699497,3340750429.9358788,210190360.61998507
2022-08-18 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.729001490235781,3438032302.2204037,295015910.25723165
2022-08-19 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.537567245378204,3378350515.307841,348873885.33896244
2022-08-20 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.811018260105765,3171730237.470532,412820020.67040247
2022-08-21 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.25895014449013,2996813200.2766623,259000930.2875104
2022-08-22 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.679850539323628,3128744243.7364545,185408381.8931182
2022-08-23 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.06334752567311,3226325403.971636,271655771.0374739
2022-08-24 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,12.142024542898195,3552948259.582964,540500472.8133742
2022-08-25 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,13.013569390043344,3802531017.91575,681484716.9175633
2022-08-26 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,12.877309727470042,3771910006.7364187,473629380.3649624
2022-08-27 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.530672478768455,3354602524.9159355,503597307.5482596
2022-08-28 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.264204009515938,3299663258.4864097,349166383.06981647
2022-08-29 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.625778737190165,3105295636.4227643,198428516.41847447
2022-08-30 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.453184611706964,3362702422.939415,291509404.8183518
2022-08-31 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.923436410846127,3501709665.511461,416869865.8722546
